Zipcode,Address,Population,Median Age,Household Income,Per Capita Income
97016,"Clatskanie, OR 97016, USA",6714,45.6,57153,25154
73560,"Olustee, OK 73560, USA",609,26.9,28942,17101
98012,"Bothell, WA 98012, USA",52351,37.2,88283,39165
44510,"Youngstown, OH 44510, USA",2543,35.5,13917,9907
10803,"Pelham, NY 10803, USA",12439,39.7,140000,73808
61270,"Morrison, IL 61270, USA",7159,45.2,54206,27990
60645,"Chicago, IL 60645, USA",46913,35,48918,25500
47932,"Covington, IN 47932, USA",5381,42.5,53462,26981
72079,"Jefferson, AR 72079, USA",766,44.2,34375,20873
65729,"Pontiac, MO 65729, USA",337,54.1,67350,32609
14715,"Bolivar, NY 14715, USA",2763,40.2,45030,22257
48469,"Port Sanilac, MI 48469, USA",1175,56.4,44438,25798
18223,"Ebervale, PA 18223, USA",122,43.7,49458,37056
39180,"Vicksburg, MS 39180, USA",33827,37.1,40661,21209
97022,"Eagle Creek, OR 97022, USA",3208,43.9,66927,24343
79764,"Odessa, TX 79764, USA",20868,34.2,50556,21883
88353,"Vaughn, NM 88353, USA",534,26.9,30179,12829
67351,"Liberty, KS 67351, USA",587,48.1,84250,30635
88321,"Encino, NM 88321, USA",117,57.4,27054,31962
73771,"Wakita, OK 73771, USA",450,48.9,45536,27035
98270,"Marysville, WA 98270, USA",46105,35.2,65130,26833
730,"Ponce, 00730, Puerto Rico",37931,37,16259,9768
63038,"Glencoe, MO 63038, USA",6631,45.5,106513,54149
32064,"Live Oak, FL 32064, USA",6841,34.4,24090,14169
77880,"Washington, TX 77880, USA",1637,48.8,38672,25386
69101,"North Platte, NE 69101, USA",29745,38.4,45156,25867
17263,"State Line, PA 17263, USA",597,47,63430,37458
58075,"Wahpeton, ND 58075, USA",9028,35.9,51179,27588
76638,"Crawford, TX 76638, USA",3083,41.2,77679,36692
32025,"Lake City, FL 32025, USA",23341,35.2,39916,17493
28371,"Parkton, NC 28371, USA",6628,33.6,43365,18333
48084,"Troy, MI 48084, USA",14689,37,84331,44055
6801,"Bethel, CT 06801, USA",18911,40.9,85884,38941
91405,"Van Nuys, CA 91405, USA",54435,32,38847,17645
33559,"Lutz, FL 33559, USA",16952,34.4,55643,27345
95051,"Santa Clara, CA 95051, USA",53152,36.1,100504,43487
26205,"Craigsville, WV 26205, USA",3079,41.8,32128,16382
51448,"Kiron, IA 51448, USA",653,40.8,44219,22819
76377,"Petrolia, TX 76377, USA",787,41.3,48750,22710
40060,"Raywick, KY 40060, USA",1115,44.2,40813,18390
57004,"Beresford, SD 57004, USA",3563,39.7,53958,25930
28208,"Charlotte, NC 28208, USA",34474,32.9,28435,14056
26574,"Grant Town, WV 26574, USA",553,40.9,44038,21078
4107,"Cape Elizabeth, ME 04107, USA",8993,48.4,98629,53526
30601,"Athens, GA 30601, USA",21349,26,20884,13402
42366,"Philpot, KY 42366, USA",5847,43.2,63170,26182
71834,"Doddridge, AR 71834, USA",1385,53.3,39821,23159
54733,"Dallas, WI 54733, USA",1305,41.3,50809,23292
42456,"Slaughters, KY 42456, USA",1438,39.6,47930,21130
65733,"Protem, MO 65733, USA",653,51.3,33618,16655
23832,"Chesterfield, VA 23832, USA",32263,37.2,75942,31379
44273,"Seville, OH 44273, USA",6704,44.5,65368,30043
12464,"Phoenicia, NY 12464, USA",935,58.1,49911,37118
55063,"Pine City, MN 55063, USA",9171,43.2,47556,22709
17018,"Dauphin, PA 17018, USA",4175,47.1,58438,32552
17214,"Blue Ridge Summit, PA 17214, USA",1158,44.7,52112,29722
76706,"Waco, TX 76706, USA",36055,22.6,26398,14613
14855,"Jasper, NY 14855, USA",988,29.3,43750,15913
12789,"Woodridge, NY 12789, USA",1887,37.5,51827,23318
66614,"Topeka, KS 66614, USA",31709,38.8,53673,30118
27549,"Louisburg, NC 27549, USA",24784,40.3,36969,20001
49112,"Edwardsburg, MI 49112, USA",10253,39.5,49712,21768
57075,"Wentworth, SD 57075, USA",791,52.9,49375,39309
15018,"Buena Vista, PA 15018, USA",668,44.1,50588,20773
72833,"Danville, AR 72833, USA",4297,36.7,41512,17870
72347,"Hickory Ridge, AR 72347, USA",689,45.3,31471,19479
3104,"Manchester, NH 03104, USA",33145,37.6,60468,32130
97721,"Princeton, OR 97721, USA",610,30.7,27321,11412
98358,"Nordland, WA 98358, USA",1237,51.6,51146,28010
28663,"Piney Creek, NC 28663, USA",709,39.6,36000,20294
11220,"Brooklyn, NY 11220, USA",103089,32.4,37580,16263
99753,"Koyuk, AK 99753, USA",279,19.9,28333,8987
50315,"Des Moines, IA 50315, USA",35873,34.4,41793,20989
1585,"West Brookfield, MA 01585, USA",4646,45.7,62667,31262
16636,"Dysart, PA 16636, USA",801,47.6,42303,21236
957,"Bayamón, 00957, Puerto Rico",46252,37.1,23736,11453
12769,"Phillipsport, NY 12769, USA",142,50.2,48750,29437
77328,"Cleveland, TX 77328, USA",15666,34,48250,19670
30236,"Jonesboro, GA 30236, USA",44082,33.9,40107,21374
1527,"Millbury, MA 01527, USA",13264,43,71832,32329
54151,"Niagara, WI 54151, USA",3376,45.7,45813,23500
37101,"McEwen, TN 37101, USA",6388,41.1,50398,21198
71031,"Goldonna, LA 71031, USA",1012,49.8,44250,20250
27358,"Summerfield, NC 27358, USA",14998,43,88382,40210
1469,"Townsend, MA 01469, USA",7044,40.4,78985,34037
67835,"Cimarron, KS 67835, USA",3105,33.4,52188,22510
43030,"Jacksontown, OH 43030, USA",180,54,,27844
29001,"Alcolu, SC 29001, USA",1954,36.9,33205,17998
32187,"San Mateo, FL 32187, USA",1996,46.5,30300,18933
85353,"Tolleson, AZ 85353, USA",32308,26.7,50066,16046
56343,"Kensington, MN 56343, USA",930,42.4,48417,24153
67661,"Phillipsburg, KS 67661, USA",3352,45.4,40882,23569
98394,"Vaughn, WA 98394, USA",1567,39.1,57941,24595
88337,"La Luz, NM 88337, USA",2487,48.1,46996,23700
97321,"Albany, OR 97321, USA",24852,41.1,60271,27961
54458,"Nelsonville, WI 54458, USA",150,36.5,56389,20718
98101,"Seattle, WA 98101, USA",10643,43,42938,61716
14411,"Albion, NY 14411, USA",14257,39.9,42967,18461
67839,"Dighton, KS 67839, USA",1251,46.8,49773,30282
78351,"Driscoll, TX 78351, USA",564,37,36985,16011
67047,"Fall River, KS 67047, USA",754,52.1,39500,20428
68005,"Bellevue, NE 68005, USA",24163,34.2,53794,25101
17327,"Glen Rock, PA 17327, USA",8190,46.7,67791,32177
98106,"Seattle, WA 98106, USA",23855,35.3,57875,27922
98409,"Tacoma, WA 98409, USA",23423,31.4,46886,21513
48416,"Brown City, MI 48416, USA",4986,38.6,43397,20143
97633,"Merrill, OR 97633, USA",1416,36.3,40742,18448
31007,"Byromville, GA 31007, USA",1105,41.8,29417,14202
99737,"Delta Junction, AK 99737, USA",4964,33.5,71250,32842
38224,"Cottage Grove, TN 38224, USA",1044,39.2,36932,19238
79778,"Rankin, TX 79778, USA",900,44.6,61806,28706
62063,"Medora, IL 62063, USA",1056,41.3,54074,25781
17097,"Wiconisco, PA 17097, USA",746,44.6,49904,25655
76950,"Sonora, TX 76950, USA",4069,35.5,53500,27732
65243,"Clark, MO 65243, USA",3176,29.3,55885,16802
97366,"Newport, OR 97366, USA",1301,58.8,53135,36010
16930,"Liberty, PA 16930, USA",1348,41,44934,20611
4637,"Grand Lake Stream, ME 04637, USA",123,65.4,31125,33564
49080,"Plainwell, MI 49080, USA",15624,40.9,53743,25048
83122,"Grover, WY 83122, USA",469,36.1,83333,28556
29834,"Langley, SC 29834, USA",1344,38.9,32375,16178
61067,"Ridott, IL 61067, USA",645,49.6,40726,37925
27541,"Hurdle Mills, NC 27541, USA",4295,45.1,56346,27996
57369,"Platte, SD 57369, USA",2344,47.7,46196,23758
59820,"Alberton, MT 59820, USA",1241,47.2,45956,26394
60433,"Joliet, IL 60433, USA",17220,35.4,43644,18967
43157,"Thurston, OH 43157, USA",606,32.6,27614,13239
36619,"Mobile, AL 36619, USA",15405,37.9,55962,24392
97389,"Tangent, OR 97389, USA",1576,36.5,46250,21717
62673,"Oakford, IL 62673, USA",697,35.9,60179,19800
69334,"Bayard, NE 69334, USA",2305,46.5,43575,21241
52141,"Elgin, IA 52141, USA",1390,42.5,39679,21960
18519,"Scranton, PA 18519, USA",4838,41.6,38990,24672
74956,"Shady Point, OK 74956, USA",2269,36.4,40652,18796
41564,"Sidney, KY 41564, USA",1312,34.3,41806,16302
59522,"Chester, MT 59522, USA",1784,49.2,43036,25407
56289,"Sunburg, MN 56289, USA",671,47.7,57159,26149
28697,"Wilkesboro, NC 28697, USA",12899,42.9,39945,25458
48386,"White Lake, MI 48386, USA",18081,42.9,74321,33301
78004,"Bergheim, TX 78004, USA",1397,44.7,124592,41737
78941,"Flatonia, TX 78941, USA",2754,45.7,40304,23115
58369,"St John, ND 58369, USA",1306,38.9,29375,17469
94040,"Mountain View, CA 94040, USA",33852,35.7,99375,54558
6883,"Weston, CT 06883, USA",10261,42.5,207262,90552
33129,"Miami, FL 33129, USA",14198,38.9,54127,41352
6824,"Fairfield, CT 06824, USA",34864,38.5,128558,60182
18042,"Easton, PA 18042, USA",41921,35.2,45441,23227
11722,"Central Islip, NY 11722, USA",38241,33.1,67023,21935
16153,"Stoneboro, PA 16153, USA",2686,44.6,50714,22506
51433,"Auburn, IA 51433, USA",582,48.3,47500,22422
78611,"Burnet, TX 78611, USA",13226,44.6,48409,23381
96084,"Round Mountain, CA 96084, USA",593,55,31897,23506
77434,"Eagle Lake, TX 77434, USA",4701,34.2,35105,16735
62613,"Athens, IL 62613, USA",3774,37.8,60284,28806
76943,"Ozona, TX 76943, USA",3719,40,49643,22163
5053,"North Pomfret, VT 05053, USA",331,56.1,70227,39193
62373,"Sutter, IL 62373, USA",314,42.2,58382,22406
78565,"Los Ebanos, TX 78565, USA",216,41.3,8611,5960
17980,"Tower City, PA 17980, USA",2963,45.3,50240,24934
77031,"Houston, TX 77031, USA",18079,30.5,39278,17932
14131,"Ransomville, NY 14131, USA",4756,47.9,57500,27970
11105,"New York, NY 11105, USA",36190,35.3,57525,33537
54822,"Cameron, WI 54822, USA",4585,39.9,48598,22565
87029,"Lindrith, NM 87029, USA",218,54.4,29265,28152
36558,"Millry, AL 36558, USA",3946,42.1,42500,21410
35117,"Mt Olive, AL 35117, USA",5550,37.5,72500,29385
30177,"Tate, GA 30177, USA",1369,35.9,33866,15101
25865,"Lester, WV 25865, USA",1368,38.8,65163,25341
53576,"Orfordville, WI 53576, USA",2452,37.9,55893,22504
77373,"Spring, TX 77373, USA",55927,32.4,67742,25921
55346,"Eden Prairie, MN 55346, USA",16405,40.8,100775,46370
85743,"Tucson, AZ 85743, USA",28858,41.2,69577,32411
83849,"Osburn, ID 83849, USA",1780,49,37946,22393
27317,"Randleman, NC 27317, USA",16383,40.5,42295,22432
49058,"Hastings, MI 49058, USA",19031,40.8,46777,22137
29468,"Pineville, SC 29468, USA",1768,43.8,19663,28526
72434,"Imboden, AR 72434, USA",1857,37.2,30625,16411
27043,"Pinnacle, NC 27043, USA",6225,46,48410,24449
16699,"Cresson, PA 16699, USA",820,34.7,,4506
25253,"Letart, WV 25253, USA",2118,38.9,40245,18032
30268,"Palmetto, GA 30268, USA",9736,32.7,47421,22939
54979,"Van Dyne, WI 54979, USA",1400,42.9,65313,26566
30309,"Atlanta, GA 30309, USA",21074,35,71854,66311
47393,"Williamsburg, IN 47393, USA",1823,40.4,53698,18472
85611,"Elgin, AZ 85611, USA",963,53.1,50441,23419
14806,"Andover, NY 14806, USA",2161,41.6,49792,22379
75457,"Mt Vernon, TX 75457, USA",6116,40.7,39909,26517
80482,"Winter Park, CO 80482, USA",1151,46.5,61000,39984
62340,"Griggsville, IL 62340, USA",1569,43.8,38036,20380
24843,"Hensley, WV 24843, USA",140,60.4,20673,14761
48659,"Sterling, MI 48659, USA",2781,43.1,44315,19879
83634,"Kuna, ID 83634, USA",25875,31,59221,16711
12450,"Lanesville, NY 12450, USA",204,58.7,22200,20052
42717,"Burkesville, KY 42717, USA",6711,43.4,30985,16875
97875,"Stanfield, OR 97875, USA",2707,36,55478,22277
8002,"Cherry Hill, NJ 08002, USA",22025,39.7,68465,34026
25111,"Indore, WV 25111, USA",723,43.4,36417,15064
27853,"Margarettsville, NC 27853, USA",659,42.8,25966,11178
27298,"Liberty, NC 27298, USA",8969,45.4,43097,23966
4268,"Norway, ME 04268, USA",4999,49.2,38629,21431
33542,"Zephyrhills, FL 33542, USA",21178,54.2,32174,20291
31547,"Kings Bay Base, GA 31547, USA",952,22,45238,24428
14807,"Arkport, NY 14807, USA",3088,48,45821,23042
62633,"Easton, IL 62633, USA",690,50.3,56250,27852
48851,"Lyons, MI 48851, USA",2493,36.5,53704,22288
92111,"San Diego, CA 92111, USA",47271,35.9,57350,27391
37743,"Greeneville, TN 37743, USA",26696,44.8,34855,19552
16870,"Port Matilda, PA 16870, USA",6735,39.1,84808,37320
2717,"East Freetown, MA 02717, USA",4356,42.8,81150,32987
74438,"Hitchita, OK 74438, USA",265,31.6,46875,14888
67530,"Great Bend, KS 67530, USA",19576,39.1,43352,26179
56529,"Dilworth, MN 56529, USA",4047,32.2,46116,21554
26202,"Fenwick, WV 26202, USA",762,42.1,49205,17950
46312,"East Chicago, IN 46312, USA",29584,29.8,27583,13497
10913,"Blauvelt, NY 10913, USA",5175,41.8,122857,46193
63030,"Fletcher, MO 63030, USA",315,41,49441,22871
78072,"Tilden, TX 78072, USA",570,41.2,42083,21532
53018,"Delafield, WI 53018, USA",8120,43.3,94873,42783
23389,"Harborton, VA 23389, USA",136,73.3,,13575
45780,"The Plains, OH 45780, USA",3351,41,33892,17139
79703,"Midland, TX 79703, USA",21214,30.5,57842,23946
19076,"Prospect Park, PA 19076, USA",6606,36.2,67727,26908
28732,"Fletcher, NC 28732, USA",15406,40.6,45273,26177
85553,"Tonto Basin, AZ 85553, USA",1441,64.6,36442,28245
44708,"Canton, OH 44708, USA",25341,42.8,44731,26042
52315,"Newhall, IA 52315, USA",958,42.4,61750,27831
32444,"Lynn Haven, FL 32444, USA",19205,40.2,61233,28643
60468,"Peotone, IL 60468, USA",5847,41.5,75000,30813
85233,"Gilbert, AZ 85233, USA",39027,34.7,75365,32900
76373,"Oklaunion, TX 76373, USA",281,36.4,45948,15359
64081,"Lee's Summit, MO 64081, USA",23549,41.3,76684,35039
45328,"Gettysburg, OH 45328, USA",692,30.4,43750,14939
68723,"Carroll, NE 68723, USA",513,51.2,59000,25617
4622,"Cherryfield, ME 04622, USA",1480,40.8,40104,20084
51049,"Quimby, IA 51049, USA",476,47.9,47847,22334
77807,"Bryan, TX 77807, USA",10882,30.2,42154,19089
60305,"River Forest, IL 60305, USA",11183,41.4,113317,62034
47670,"Princeton, IN 47670, USA",12140,39.5,45915,23971
78885,"Vanderpool, TX 78885, USA",106,55.5,80417,38706
7603,"Bogota, NJ 07603, USA",8231,38.7,77821,31670
84764,"Bryce, UT 84764, USA",163,27,38750,19698
72680,"Timbo, AR 72680, USA",769,46.6,28750,23495
85606,"Cochise, AZ 85606, USA",1426,53.4,27406,17731
78122,"Leesville, TX 78122, USA",200,56.6,30610,20433
5658,"Marshfield, VT 05658, USA",1505,41.6,43958,22443
16665,"Newry, PA 16665, USA",291,43.3,27188,19095
95246,"Mountain Ranch, CA 95246, USA",1207,52.8,47379,29646
94556,"Moraga, CA 94556, USA",15064,47.4,120960,62600
35951,"Albertville, AL 35951, USA",12839,35.7,37210,19602
47967,"New Richmond, IN 47967, USA",924,35.5,53462,19191
57105,"Sioux Falls, SD 57105, USA",21984,38.2,52255,30000
64455,"Graham, MO 64455, USA",315,50.6,43542,25407
24887,"Switchback, WV 24887, USA",125,14.8,,4526
47926,"Burnettsville, IN 47926, USA",932,35.9,50469,20121
36701,"Selma, AL 36701, USA",22605,39.4,32136,20992
59087,"Winnett, MT 59087, USA",506,48.3,41250,22816
22952,"Lyndhurst, VA 22952, USA",2088,46.3,43095,23158
59201,"Wolf Point, MT 59201, USA",5193,30.8,42699,17624
92115,"San Diego, CA 92115, USA",61084,27.5,41866,21011
28327,"Carthage, NC 28327, USA",15333,40.6,51609,23841
38504,"Allardt, TN 38504, USA",1167,38.6,46786,19634
